trip_id,start_time,end_time,headway_secs
TR_RID_AN07_PINC2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_CLOS1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_CLOS1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_CLOS2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_CLOS2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_ESCA1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_ESCA1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_WILB1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_WILB1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_LERO1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_LERO1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_CORMI1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_CORMI1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_CORMI2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_CORMI2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_FAMHU1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_FAMHU1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_FAMHU2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_FAMHU2_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_FAMVI1_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_FAMVI1_1_R,07:00:00,20:30:00,1200 
TR_RID_AN07_FAMVI2_1_A,07:00:00,20:30:00,1200 
TR_RID_AN07_FAMVI2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_TECHC1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_TECHC1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_MOND1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_MOND1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_KART1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_KART1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_KART2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_KART2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_PINC1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_PINC1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_PINC2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_PINC2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CLOS1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CLOS1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CLOS2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CLOS2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_ESCA1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_ESCA1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_WILB1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_WILB1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_LERO1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_LERO1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CORMI1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CORMI1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CORMI2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CORMI2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_FAMHU1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_FAMHU1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_FAMHU2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_FAMHU2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_FAMVI1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_FAMVI1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_FAMVI2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_FAMVI2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_MAIRI1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_MAIRI1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_BOUCH1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_BOUCH1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_BOUCH2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_BOUCH2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CENSI1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CENSI1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CENSI2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_CENSI2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_COLBO1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_COLBO1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHP1_COLBO2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHP1_COLBO2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_MOND1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_MOND1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_KART1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_KART1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_KART2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_KART2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_PINC1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_PINC1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_PINC2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_PINC2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CLOS1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CLOS1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CLOS2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CLOS2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_ESCA1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_ESCA1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_WILB1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_WILB1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_LERO1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_LERO1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CORMI1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CORMI1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CORMI2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CORMI2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_FAMHU1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_FAMHU1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_FAMHU2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_FAMHU2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_FAMVI1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_FAMVI1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_FAMVI2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_FAMVI2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_MAIRI1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_MAIRI1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_BOUCH1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_BOUCH1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_BOUCH2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_BOUCH2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CENSI1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CENSI1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CENSI2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_CENSI2_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_COLBO1_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_COLBO1_1_R,07:00:00,20:30:00,1200 
TR_RID_TECHC1_COLBO2_1_A,07:00:00,20:30:00,1200 
TR_RID_TECHC1_COLBO2_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_KART1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_KART1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_KART2_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_KART2_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_PINC1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_PINC1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_PINC2_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_PINC2_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_CLOS1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_CLOS1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_CLOS2_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_CLOS2_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_ESCA1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_ESCA1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_WILB1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_WILB1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_LERO1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_LERO1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_CORMI1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_CORMI1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_CORMI2_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_CORMI2_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_FAMHU1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_FAMHU1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_FAMHU2_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_FAMHU2_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_FAMVI1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_FAMVI1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_FAMVI2_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_FAMVI2_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_MAIRI1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_MAIRI1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_BOUCH1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_BOUCH1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_BOUCH2_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_BOUCH2_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_CENSI1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_CENSI1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_CENSI2_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_CENSI2_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_COLBO1_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_COLBO1_1_R,07:00:00,20:30:00,1200 
TR_RID_MOND1_COLBO2_1_A,07:00:00,20:30:00,1200 
TR_RID_MOND1_COLBO2_1_R,07:00:00,20:30:00,1200 
TR_RID_KART1_KART2_1_A,07:00:00,20:30:00,1200 
TR_RID_KART1_KART2_1_R,07:00:00,20:30:00,1200 
TR_RID_KART1_PINC1_1_A,07:00:00,20:30:00,1200 
TR_RID_KART1_PINC1_1_R,07:00:00,20:30:00,1200 
TR_RID_KART1_PINC2_1_A,07:00:00,20:30:00,1200 
TR_RID_KART1_PINC2_1_R,07:00:00,20:30:00,1200 
TR_RID_KART1_CLOS1_1_A,07:00:00,20:30:00,1200 
TR_RID_KART1_CLOS1_1_R,07:00:00,20:30:00,1200 
TR_RID_KART1_CLOS2_1_A,07:00:00,20:30:00,1200 
TR_RID_KART1_CLOS2_1_R,07:00:00,20:30:00,1200 
TR_RID_KART1_ESCA1_1_A,07:00:00,20:30:00,1200 
TR_RID_KART1_ESCA1_1_R,07:00:00,20:30:00,1200 
TR_RID_KART1_WILB1_1_A,07:00:00,20:30:00,1200 
TR_RID_KART1_WILB1_1_R,07:00:00,20:30:00,1200 
TR_RID_KART1_LERO1_1_A,07:00:00,20:30:00,1200 
TR_RID_KART1_LERO1_1_R,07:00:00,20:30:00,1200 
TR_RID_KART1_CORMI1_1_A,07:00:00,20:30:00,1200 
TR_RID_KART1_CORMI1_1_R,07:00:00,20:30:00,1200 
TR_RID_KART1_CORMI2_1_A,07:00:00,20:30:00,1200 
