shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
40128,47.997359,0.180414,100004,2.780
40128,47.997508,0.180551,100005,2.800
40128,47.997682,0.180673,100006,2.821
40128,47.998119,0.180989,100007,2.875
40128,47.998179,0.181030,100008,2.882
40128,47.998643,0.181368,100009,2.940
40128,47.998751,0.181444,100010,2.953
40128,47.998901,0.181556,100011,2.972
40128,47.999047,0.181664,100012,2.990
40128,47.999221,0.181800,100013,3.012
40128,47.999330,0.181891,100014,3.026
40128,47.999475,0.182035,100015,3.045
40128,47.999475,0.182035,110001,3.045
40128,47.999516,0.182075,110002,3.050
40128,47.999555,0.182113,110003,3.056
40128,47.999696,0.182259,110004,3.075
40128,47.999767,0.182331,110005,3.084
40128,47.999847,0.182411,110006,3.095
40128,47.999933,0.182496,110007,3.106
40128,48.000083,0.182645,110008,3.127
40128,48.000124,0.182688,110009,3.132
40128,48.000146,0.182711,110010,3.135
40128,48.000280,0.182847,110011,3.153
40128,48.000361,0.182929,110012,3.164
40128,48.000698,0.183286,110013,3.210
40128,48.000809,0.183405,110014,3.225
40128,48.000893,0.183543,110015,3.239
40128,48.000958,0.183647,110016,3.250
40128,48.000997,0.183845,110017,3.265
40128,48.001036,0.184047,110018,3.281
40128,48.001036,0.184224,110019,3.294
40128,48.001036,0.184224,120001,3.294
40128,48.001035,0.184542,120002,3.318
40128,48.001051,0.185658,120003,3.401
40128,48.001052,0.185765,120004,3.409
40128,48.001064,0.186896,120005,3.493
40128,48.001067,0.187082,120006,3.507
40128,48.001077,0.187787,120007,3.560
40128,48.001077,0.187787,130001,3.560
40128,48.001082,0.188130,130002,3.586
40128,48.001093,0.188759,130003,3.632
40128,48.001095,0.188943,130004,3.646
40128,48.001096,0.189062,130005,3.655
40128,48.001102,0.189561,130006,3.692
40128,48.001111,0.190441,130007,3.758
40128,48.001114,0.190655,130008,3.774
40128,48.001114,0.190686,130009,3.776
40128,48.001092,0.190785,130010,3.784
40128,48.001121,0.190986,130011,3.799
40128,48.001251,0.191064,130012,3.815
40128,48.002007,0.191249,130013,3.900
40128,48.002170,0.191286,130014,3.918
40128,48.002165,0.191378,130015,3.925
40128,48.002164,0.191389,130016,3.926
40128,48.002168,0.191486,130017,3.933
40128,48.002301,0.191961,130018,3.972
40128,48.002426,0.192405,130019,4.008
40128,48.002426,0.192405,140001,4.008
40128,48.002500,0.192668,140002,4.029
40128,48.002511,0.192707,140003,4.032
40128,48.002598,0.193111,140004,4.064
40128,48.002693,0.193222,140005,4.077
40128,48.002747,0.193270,140006,4.084
40128,48.002784,0.193280,140007,4.088
40128,48.002898,0.193310,140008,4.101
40128,48.003064,0.193355,140009,4.120
40128,48.003426,0.193452,140010,4.161
40128,48.003482,0.193468,140011,4.167
40128,48.004189,0.193659,140012,4.247
40128,48.004236,0.193670,140013,4.252
40128,48.004292,0.193685,140014,4.259
40128,48.004550,0.193720,140015,4.287
40128,48.004550,0.193720,150001,4.287
40128,48.004708,0.193742,150002,4.305
40128,48.004781,0.193763,150003,4.313
40128,48.004855,0.193785,150004,4.322
40128,48.004903,0.193807,150005,4.327
40128,48.004991,0.193849,150006,4.338
