stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
2475,LAR2,L'Arche,,48.060330,0.165146,,,0,PLA_LARCE,1
2945,LAS1,La Saulaie,,47.973547,0.125624,,,0,PLA_LASAU,1
2465,LAT1,La Touche,,47.987483,0.133763,,,0,PLA_LATOU,2
2466,LAT2,La Touche,,47.987469,0.133992,,,0,PLA_LATOU,2
2477,LAU1,Lausanne,,48.022480,0.187476,,,0,PLA_LAUSA,2
2476,LAU2,Lausanne,,48.023051,0.187492,,,0,PLA_LAUSA,2
2471,LBE1,Lambert,,48.005713,0.220961,,,0,PLA_LAMBE,2
2472,LBE2,Lambert,,48.005771,0.221256,,,0,PLA_LAMBE,2
3150,LBO2,La Bodinière,,48.055556,0.342337,,,0,PLA_BODI,1
2931,LCA1,Le Carrefour,,47.950029,0.139893,,,0,PLA_LECAR,1
3000,LCA2,Le Carrefour,,47.950083,0.139891,,,0,PLA_LECAR,1
2923,LCC1,Lycée Claude Chappe,,47.934087,0.184855,,,0,PLA_LYCCC,1
2936,LCE1,Les Courterus,,47.942277,0.115767,,,0,PLA_LESCO,1
2512,LCH1,Les Charmeuses,,47.935147,0.274475,,,0,PLA_LESCH,1
2483,LCL1,Le Clos,,47.985207,0.162150,,,0,PLA_LECLO,1
2888,LCL2,Le Clos,,47.984899,0.161202,,,0,PLA_LECLO,2
2942,LCO1,La Chopinière,,47.947789,0.130305,,,0,PLA_LACHO,1
3003,LCO2,La Chopinière,,47.947897,0.130340,,,0,PLA_LACHO,1
2932,LCT1,Le Châtaignier,,47.950427,0.125213,,,0,PLA_LECHA,1
2977,LDA1,La Denisière,,48.026033,0.079267,,,0,PLA_LADEN,1
3076,LDR1,Ledru-Rollin,,48.010192,0.194861,,,0,PLA_LEDRU,1
3075,LDR2,Ledru-Rollin,,48.010161,0.194920,,,0,PLA_LEDRU,1
3011,LEA1,Léard,,48.026014,0.181413,,,0,PLA_LEARD,1
3010,LEA2,Léard,,48.025798,0.181236,,,0,PLA_LEARD,1
2927,LEC1,Le Chêne,,47.991532,0.149181,,,0,PLA_LECHE,1
2926,LEC2,Le Chêne,,47.991696,0.149268,,,0,PLA_LECHE,1
2493,LEM1,Le Marin,,47.963859,0.160408,,,0,PLA_LEMAR,1
2494,LEM2,Le Marin,,47.963912,0.160184,,,0,PLA_LEMAR,1
2503,LEO2,Léo Delibes,,47.971345,0.159326,,,0,PLA_LEODE,1
2934,LER1,Le Rosier,,47.955498,0.120755,,,0,PLA_LEROS,1
3005,LER2,Le Rosier,,47.955569,0.120738,,,0,PLA_LEROS,1
2528,LES1,Les Robinières,,48.054020,0.144465,,,0,PLA_LESRO,2
2529,LES2,Les Robinières,,48.053979,0.144655,,,0,PLA_LESRO,2
2565,LET2,Marcel Létang,,47.944777,0.265163,,,0,PLA_MARLE,1
1047,LF01,Leclerc-Fleurus,,47.998191,0.195012,,,0,PLA_LECLE,1
1048,LF02,Leclerc-Fleurus,,47.998180,0.194906,,,0,PLA_LECLE,1
3071,LFL2,Fosse Louvette,,48.057793,0.107748,,,0,PLA_LAFOU,1
2445,LFO1,La Folie,,48.066116,0.108463,,,0,PLA_LAFOL,1
2446,LFO2,La Folie,,48.066052,0.108439,,,0,PLA_LAFOL,1
2486,LFU1,Le Fouillet,,48.065474,0.090385,,,0,PLA_LEFOU,1
2975,LFU2,Le Fouillet,,48.065337,0.090567,,,0,PLA_LEFOU,1
3201,LFX1,La Fabrique,,48.001031,0.187789,,,0,PLA_LAFAB,1
2449,LGA1,La Gautrie,,47.945657,0.184323,,,0,PLA_LAGAU,1
2450,LGA2,La Gautrie,,47.945573,0.184308,,,0,PLA_LAGAU,1
3149,LGC1,Le Gros Chêne,,48.055649,0.342213,,,0,PLA_LGC,1
2473,LGD1,Languedoc,,47.955628,0.171519,,,0,PLA_LANGU,1
2452,LGE1,La Germinière,,48.011689,0.124573,,,0,PLA_LAGER,2
2454,LGR1,La Grande Salle,,47.995441,0.108710,,,0,PLA_LAGRA,2
2453,LGR2,La Grande Salle,,47.995247,0.108580,,,0,PLA_LAGRA,1
2507,LGU1,Léon Guet,,47.967673,0.223032,,,0,PLA_LEONG,1
2506,LGU2,Léon Guet,,47.967998,0.223668,,,0,PLA_LEONG,1
2978,LGV1,Les Gravillons,,48.024826,0.079009,,,0,PLA_LESGR,1
2979,LGV2,Les Gravillons,,48.024842,0.079588,,,0,PLA_LESGR,1
2943,LHA1,La Hardangère,,47.951304,0.141171,,,0,PLA_LAHAR,1
2490,LHO1,Le Houx,,48.067480,0.132732,,,0,PLA_LEHOU,2
2489,LHO2,Le Houx,,48.068515,0.132574,,,0,PLA_LEHOU,2
2534,LIB1,Libération,,48.004589,0.187335,,,0,PLA_LIBER,1
2535,LIB2,Libération,,48.004346,0.187293,,,0,PLA_LIBER,1
2536,LIL1,Lilas,,47.984963,0.195570,,,0,PLA_LILAS,2
2920,LLA1,École Louise Labé,,48.020819,0.180000,,,0,PLA_ECOLL,1
3152,LLB2,Les Landes de la Bécanne,,48.044390,0.330945,,,0,PLA_LDLB,1
1084,LM03,Lycée Malraux,,47.956498,0.165928,,,0,PLA_LYCMA,1
1085,LM04,Lycée Malraux,,47.956335,0.165854,,,0,PLA_LYCMA,1
2938,LMA1,Les Maréchaux,,47.944370,0.118450,,,0,PLA_LESMA,2
2455,LMD1,Collège La Madeleine,,48.023854,0.184086,,,0,PLA_COLMA,1
2459,LMI1,La Milesse,,48.063681,0.136482,,,0,PLA_LAMIL,1
2458,LMI2,La Milesse,,48.064013,0.136198,,,0,PLA_LAMIL,2
2969,LMO1,Lycée Montesquieu,,48.007237,0.200590,,,0,PLA_LYCMO,1
2972,LMO2,Lycée Montesquieu,,48.009785,0.201451,,,0,PLA_LYCMO,1
2740,LOI1,Rue du Loir,,47.988093,0.166648,,,0,PLA_RUDLO,1
2739,LOI2,Rue du Loir,,47.987744,0.166303,,,0,PLA_RUDLO,1
3148,LP1,La Pointe,,48.044814,0.328506,,,0,PLA_POINT,1
2933,LPE1,Le Pâtis Vert,,47.955421,0.124280,,,0,PLA_LEPAT,1
3004,LPE2,Le Pâtis Vert,,47.955511,0.124303,,,0,PLA_LEPAT,1
2526,LPI1,Les Pins,,47.940026,0.265348,,,0,PLA_LESPI,1
2527,LPI2,Les Pins,,47.939830,0.266126,,,0,PLA_LESPI,1
2525,LPL1,Les Palis,,48.023037,0.182548,,,0,PLA_LESPA,1
2524,LPL2,Les Palis,,48.023249,0.182719,,,0,PLA_LESPA,1
2944,LPO1,La Pointe Allonnes,,47.948411,0.134698,,,0,PLA_LPOIA,1
3002,LPO2,La Pointe Allonnes,,47.948455,0.134616,,,0,PLA_LPOIA,1
2496,LPR1,Le Pressoir,,47.944041,0.268345,,,0,PLA_LEPRE,1
